Name, Title,,City, State
Amanda Daflos, Director, Mayor’s Innovation Team,City of Los Angeles,California
Jamie Eustace, Director, Sterling Municipal Library,Baytown, Texas
Aaron Foley, Chief Storyteller,,City of Detroit, Michigan
Cathy Bailey, Director, Greater Cincinnati Water Works,City of Cincinnati,Ohio
Anna Clark, Author “The Poisoned City: Flint’s Water and the American Urban Tragedy,,,
Zach Navin, Public Works Management Analyst,,City of Wauwatosa, Wisconsin
Darrin Tangeman, City Manager,,City of Woodland Park, Colorado
Jason Jones, Analytics & Innovation Manager,,Guilford County, North Carolina
Lori Sassoon, Deputy City Manager,,City of Rancho Cucamonga, California
Bertha Johnson, Director of Budget & Management Services,,City of Durham, North Carolina
Nick Woolery, Director of Strategy & Innovation,,City of Baytown, Texas
Sam Edelstein, Chief Data Officer,,City of Syracuse, New York
Shannah Hayley, Director Communications & Community Outreach,,City of Plano, Texas
Joshua Schoemann, County Administrator,,Washington County, Wisconsin
Chris Hsiung, Police Captain,,Mountain View, California
Cheriene Floyd, Strategic Planning & Performance Manager,,City of Miami, Florida
Andrew Hening, Director of Homeless Planning & Outreach,,City of San Rafael, California
Chad Doran, Communications Director,,City of Appleton, Wisconsin
Josh Edwards, Director of Strategy & Performance,,City of Durham, North Carolina
Laura Savage, Assistant to the District Manager,,Pueblo West Metro District, Colorado
David LaFrance, CEO,,American Water Works Association,
Ben Walsh, Mayor,,City of Syracuse,New York
Chris Morrill, Executive Director,,GFOA ,
Brendan Babb, Chief Innovation Officer,,Anchorage, Alaska
Brent Stockwell, Assistant City Manager,,City of Scottsdale, Arizona
Wade Walcutt, Parks Director,,City of Cincinnati, Ohio
Nick Smith, Digital Content Specialist,,City of Gaithersburg, Maryland
Adria Finch, Chief Innovation Officer,,City of Syracuse, New York
Sarah Marie Martin, Director,,MySidewalk ,
Kevin Hardman, Mayor,,City of Sharonville, Ohio
Leigh Tami, Chief Performance Officer,,City of Cincinnati, Ohio
Rick Cole, City Manager,,City of Santa Monica, California
Alan Howze, Chief Knowledge Officer,,City of Kansas City, Kansas
Kelly McAdoo, City Manager,,City of Hayward, California
Carly Lorentz, Deputy City Manager,,City of Golden, Colorado
Tina Walha, Director of Innovation & Performance,,City of Seattle, Washington
Andrew Kleine, Author, City on the Line & Chief Administrative Officer,Montgomery County, Maryland
Heather Geyer, City Manager,,City of Northglenn, Colorado
William Ottens, Cataloging & Collection Development,,City of Lawrence, Kansas
John Gonzalez, Communications Manager,,Northeast Ohio Regional Sewer District  ,
Mike Sarasti, Chief Innovation Officer,,City of Miami, Florida
Clay Pearson, City Manager,,City of Pearland, Texas 
Kyle Kingma, Founder,,Planning Peeps ,
Ginger Spencer, Public Works Director,,City of Phoenix, Arizona
Mai-Ling Garcia, Online Engagement Manager,,City of Oakland, California
Michael Karlik, Host,,City Council Chronicles & Tear It Down,
Kelly Houghteling, Assistant Town Administrator,,City of Wellington, Colorado
Mitch Foster, Village Administrator,,Village of Winneconne, Wisconsin
Pam (Weir) Davis, Assistant to the City Manager,,City of Goodyear, Arizona
